MinPrincipalStrain,MaxPrincipalStrain,EqPlasticStrain,MinPrincipalStress,MaxPrincipalStress,ElemVolume,IntegrationPoint_CoordX,IntegrationPoint_CoordY,Stress_xx,Stress_yy,Stress_xy,StressTriaxility,MisesStress,ThirdInvStress
-0.000031,   0.000083,   0.000000,   -1.430600,   16.913849,   0.582331,   0.371144,   57.738537,   9.574740,   5.908507,   -8.987179,   0.292038,   17.672630,   17.541645
-0.000053,   0.000086,   0.000000,   -6.263636,   16.146227,   0.582334,   0.371144,   56.757896,   3.890481,   5.992109,   -11.155549,   0.164490,   20.026678,   17.611843
-0.000119,   0.000120,   0.000000,   -19.260881,   19.405001,   0.582334,   0.371144,   55.777256,   -7.775128,   7.919247,   -17.668737,   0.001435,   33.485714,   6.235077
-0.000208,   0.000210,   0.000000,   -33.533504,   33.938217,   0.582333,   0.371144,   54.796619,   -11.966065,   12.370778,   -31.464865,   0.002309,   58.432571,   12.750128
-0.000289,   0.000362,   0.000000,   -41.548859,   63.480110,   0.582333,   0.371144,   53.815979,   1.966153,   19.965099,   -51.737614,   0.079794,   91.616364,   64.700607
-0.000347,   0.000583,   0.000000,   -39.639786,   110.594963,   0.582333,   0.371144,   52.835342,   39.770348,   31.184828,   -74.994614,   0.175383,   134.857407,   120.668137
-0.000377,   0.000868,   0.000000,   -26.983858,   174.247253,   0.582334,   0.371144,   51.854702,   101.156654,   46.106735,   -96.777405,   0.259466,   189.187988,   184.784088
-0.000380,   0.001199,   0.000000,   -4.782476,   250.305771,   0.582334,   0.371144,   50.874062,   180.901779,   64.621521,   -113.521935,   0.323827,   252.730957,   252.629105
-0.000358,   0.001544,   0.000000,   0.000000,   331.457550,   0.582331,   0.371144,   49.893421,   270.270569,   85.389526,   -122.703560,   0.370429,   320.043365,   317.974670
-0.000324,   0.001877,   0.000076,   0.000000,   395.828247,   0.582334,   0.371144,   48.912785,   345.200714,   106.400711,   -121.049583,   0.405644,   371.098450,   361.488464
-0.000278,   0.002202,   0.000409,   0.000000,   407.454559,   0.582334,   0.371144,   47.932144,   368.268982,   126.766983,   -104.875648,   0.444190,   371.489258,   347.101837
-0.000243,   0.002532,   0.000754,   0.000000,   416.446777,   0.582333,   0.371144,   46.951504,   384.610870,   143.609680,   -93.198776,   0.471633,   373.327545,   332.435669
-0.000216,   0.002885,   0.001125,   0.000000,   424.256256,   0.582333,   0.371144,   45.970867,   398.312897,   158.677856,   -83.005981,   0.493922,   375.896729,   316.327789
-0.000194,   0.003282,   0.001546,   0.000000,   431.503143,   0.582333,   0.371144,   44.990227,   410.821289,   172.554764,   -73.181511,   0.512931,   379.113068,   298.138824
-0.000175,   0.003744,   0.002040,   0.000000,   438.688843,   0.582334,   0.371144,   44.009590,   422.967041,   186.113693,   -63.015366,   0.530018,   383.056519,   276.240204
-0.000162,   0.004298,   0.002634,   0.000000,   446.075348,   0.582334,   0.371144,   43.028946,   435.016815,   199.349457,   -52.234367,   0.545168,   387.872070,   249.409790
-0.000156,   0.004966,   0.003354,   0.000000,   453.860413,   0.582331,   0.371144,   42.048309,   446.977203,   211.979828,   -40.803341,   0.557974,   393.660583,   216.222931
-0.000159,   0.005760,   0.004214,   0.000000,   462.178619,   0.582334,   0.371144,   41.067673,   458.688904,   223.767105,   -28.844147,   0.568139,   400.404419,   173.193985
-0.000178,   0.006682,   0.005214,   0.000000,   471.031158,   0.582333,   0.371144,   40.087032,   469.850128,   234.045395,   -16.729767,   0.575172,   407.933563,   109.792847
-0.000213,   0.007746,   0.006372,   0.000000,   480.599487,   0.582334,   0.371144,   39.106392,   480.506622,   243.055740,   -4.696645,   0.579471,   416.219879,   -111.441093
-0.000265,   0.008955,   0.007692,   0.000000,   490.839722,   0.582333,   0.371144,   38.125751,   490.611176,   250.977554,   7.404058,   0.581484,   425.113068,   -142.418335
-0.000336,   0.010287,   0.009149,   0.000000,   501.467590,   0.582333,   0.371144,   37.145115,   499.969299,   257.747742,   19.109196,   0.581537,   434.318695,   -146.132736
-0.000438,   0.011751,   0.010748,   0.000000,   512.401306,   0.582334,   0.371144,   36.164474,   508.619080,   263.437439,   30.686230,   0.579928,   443.766052,   -126.841248
-0.000557,   0.013330,   0.012479,   0.000000,   523.478516,   0.582333,   0.371144,   35.183834,   516.516968,   268.430176,   42.137005,   0.577151,   453.345764,   55.050426
-0.000710,   0.015010,   0.014316,   0.000000,   534.467407,   0.582333,   0.371144,   34.203197,   523.567566,   272.612579,   53.424469,   0.573334,   462.895264,   152.523926
-0.000890,   0.016797,   0.016271,   0.000000,   545.382080,   0.582334,   0.371144,   33.222557,   529.841003,   276.280243,   64.669411,   0.568733,   472.465942,   199.975464
-0.001097,   0.018650,   0.018300,   0.000000,   555.937012,   0.582333,   0.371144,   32.241917,   535.193481,   279.230988,   75.761810,   0.563402,   481.849518,   238.343185
