MinPrincipalStrain,MaxPrincipalStrain,EqPlasticStrain,MinPrincipalStress,MaxPrincipalStress,ElemVolume,IntegrationPoint_CoordX,IntegrationPoint_CoordY,Stress_xx,Stress_yy,Stress_xy,StressTriaxility,MisesStress,ThirdInvStress
-0.040429,   0.018629,   0.042680,   -603.679443,   31.707838,   0.582331,   0.371144,   57.738537,   -232.809799,   -339.161835,   -313.211700,   -0.307441,   620.141663,   -618.313904
-0.052151,   0.024618,   0.055914,   -632.112610,   35.253822,   0.582334,   0.371144,   56.757896,   -234.105682,   -362.753082,   -327.424713,   -0.305867,   650.456360,   -648.301697
-0.063931,   0.029940,   0.069195,   -663.437073,   22.714014,   0.582334,   0.371144,   55.777256,   -237.961029,   -402.762054,   -333.033020,   -0.316369,   675.080750,   -674.220215
-0.074437,   0.033299,   0.080990,   -696.741394,   0.000000,   0.582333,   0.371144,   54.796619,   -246.872314,   -457.899323,   -327.792114,   -0.339112,   692.761169,   -692.656433
-0.082372,   0.034084,   0.089929,   -728.196045,   0.000000,   0.582333,   0.371144,   53.815979,   -259.641693,   -521.630066,   -311.106720,   -0.370361,   703.162109,   -698.634033
-0.087120,   0.032584,   0.095454,   -754.264099,   0.000000,   0.582333,   0.371144,   52.835342,   -274.696075,   -585.894470,   -284.156128,   -0.405678,   707.121948,   -688.792236
-0.088612,   0.029494,   0.097540,   -772.245605,   0.000000,   0.582334,   0.371144,   51.854702,   -289.426575,   -643.034119,   -249.771408,   -0.440312,   705.908447,   -663.124084
-0.086937,   0.025582,   0.096209,   -780.659546,   0.000000,   0.582334,   0.371144,   50.874062,   -300.852966,   -687.008301,   -211.977524,   -0.470119,   700.434021,   -625.704163
-0.082052,   0.021440,   0.091224,   -778.550110,   0.000000,   0.582331,   0.371144,   49.893421,   -304.260834,   -713.133789,   -176.142715,   -0.490910,   690.821655,   -586.509399
-0.073276,   0.017387,   0.081548,   -764.104614,   0.000000,   0.582334,   0.371144,   48.912785,   -294.466858,   -717.484924,   -147.967407,   -0.499577,   675.205811,   -558.153809
-0.059992,   0.014064,   0.066171,   -716.268250,   0.000000,   0.582334,   0.371144,   47.932144,   -273.601685,   -602.873596,   -224.044693,   -0.448702,   651.118530,   -604.340271
-0.045203,   0.011977,   0.051228,   -471.592407,   259.273438,   0.582333,   0.371144,   46.951504,   -195.814072,   -16.504889,   -354.264404,   -0.110274,   641.789307,   -501.851257
-0.036931,   0.013039,   0.044284,   -404.703735,   321.665955,   0.582333,   0.371144,   45.970867,   -116.670578,   33.632816,   -355.324432,   -0.043906,   630.423279,   -366.469208
-0.033453,   0.016105,   0.039148,   -437.567535,   271.975037,   0.582333,   0.371144,   44.990227,   -98.211121,   -67.381378,   -354.436249,   -0.089023,   620.034851,   -453.424133
-0.033104,   0.021829,   0.038875,   -367.120148,   347.830078,   0.582334,   0.371144,   44.009590,   -61.543106,   42.253033,   -353.687775,   -0.010384,   619.240173,   -223.015137
-0.034769,   0.027128,   0.040463,   -392.519165,   327.918182,   0.582334,   0.371144,   43.028946,   -50.687645,   -13.913317,   -359.749084,   -0.034467,   624.752563,   -335.273010
-0.037911,   0.032676,   0.044924,   -363.675201,   370.401093,   0.582331,   0.371144,   42.048309,   -37.974045,   44.699951,   -364.702972,   0.003527,   635.737610,   159.757202
-0.040569,   0.036746,   0.049006,   -376.895264,   368.943268,   0.582334,   0.371144,   41.067673,   -32.073971,   24.122000,   -371.859222,   -0.004104,   645.927368,   -170.727585
