Image X[Pixel];Image Y[Pixel];Horizontal Displacement U[Pixel];Vertical Displacement V[Pixel];Correlation Coefficient: R;Sigma;Strain-global frame: Exx;Strain-global frame: Eyy;Strain-global frame: Exy;Maximum Principal Strain: EI;Minimum Principal Strain: EII;Shear Angle Gamma;Von Mises Equivalent Strain;
1111;1092;3.024114;32.470519;0.997532;0.013882;-0.110080;0.363915;0.001865;0.363922;-0.110088;89.774570;0.373265;
951;362;0.034906;0.060172;1.000000;0.000113;-0.000420;0.001704;0.000240;0.001730;-0.000446;83.631001;0.001797;
1106;1087;3.525539;30.894315;0.997341;0.018911;-0.106933;0.343845;0.003009;0.343865;-0.106954;89.617520;0.351955;
1016;517;0.083322;0.281213;0.999999;0.000290;-0.000615;0.001613;0.000169;0.001626;-0.000627;85.682813;0.001640;
1201;692;-0.165016;0.795347;0.999996;0.000653;-0.002687;0.006683;-0.001149;0.006822;-0.002826;-83.107484;0.006856;
956;362;0.032326;0.057044;1.000000;0.000099;-0.000387;0.001671;0.000246;0.001700;-0.000416;83.277939;0.001773;
1051;872;1.551500;4.402177;0.999895;0.002516;-0.019089;0.042316;0.006340;0.042964;-0.019736;84.166316;0.043011;
1126;1772;0.003719;86.210279;1.000000;0.000082;-0.000550;0.001555;-0.000007;0.001555;-0.000550;-89.805081;0.001577;
1071;1842;0.018043;86.312766;1.000000;0.000146;-0.000298;0.001430;-0.000097;0.001435;-0.000304;-86.787590;0.001513;
1036;1367;1.889404;81.818830;0.999898;0.002248;-0.020141;0.044167;-0.007850;0.045111;-0.021085;-83.140415;0.045143;
1051;1132;10.902055;46.160081;0.994627;0.023196;-0.120450;0.381026;-0.003844;0.381056;-0.120480;-89.560875;0.389546;
1106;1092;3.586731;32.483668;0.997335;0.016948;-0.109764;0.361377;0.002331;0.361388;-0.109775;89.716537;0.370550;
1091;1177;4.116727;60.759365;0.998225;0.010891;-0.098661;0.291724;-0.006525;0.291833;-0.098770;-89.042763;0.296868;
1071;1872;0.010371;86.355710;1.000000;0.000222;-0.000176;0.001359;-0.000111;0.001367;-0.000184;-85.874889;0.001484;
1176;1537;-0.132659;85.504815;0.999997;0.000448;-0.003182;0.007962;0.000832;0.008023;-0.003244;85.753903;0.008072;
1001;507;0.088411;0.266003;0.999999;0.000296;-0.000578;0.001561;0.000169;0.001574;-0.000591;85.509504;0.001590;
1106;1097;3.696788;34.150312;0.995946;0.017059;-0.112337;0.377805;0.001699;0.377811;-0.112343;89.801384;0.388017;
1096;1177;3.616245;60.843882;0.998276;0.009963;-0.098198;0.291588;-0.005820;0.291675;-0.098285;-89.144692;0.296799;
1016;647;0.175290;0.557469;0.999996;0.000494;-0.001538;0.004044;0.001172;0.004280;-0.001774;78.613495;0.004301;
1111;1772;0.012050;86.210056;1.000000;0.000061;-0.000551;0.001558;-0.000026;0.001558;-0.000551;-89.298408;0.001580;
1151;467;-0.008594;0.193128;1.000000;0.000081;-0.000531;0.001554;-0.000018;0.001554;-0.000531;-89.507584;0.001580;
1071;1877;0.009356;86.361392;1.000000;0.000193;-0.000155;0.001345;-0.000112;0.001354;-0.000163;-85.769960;0.001478;
1066;1817;0.026191;86.275925;1.000000;0.000162;-0.000394;0.001489;-0.000093;0.001494;-0.000398;-87.182566;0.001547;
1176;852;-0.639993;3.617278;0.999925;0.002372;-0.015475;0.034921;-0.002716;0.035067;-0.015621;-86.924499;0.035136;
1001;512;0.090493;0.273361;0.999999;0.000332;-0.000583;0.001568;0.000174;0.001582;-0.000597;85.399708;0.001598;
1151;1112;-2.058211;39.566101;0.994519;0.017334;-0.120042;0.422711;0.000133;0.422711;-0.120042;89.985982;0.435663;
1211;1367;-1.521004;81.796474;0.999927;0.002861;-0.019759;0.044051;0.006035;0.044617;-0.020325;84.644780;0.044676;
1176;1542;-0.123822;85.543277;0.999997;0.000519;-0.002978;0.007445;0.000782;0.007504;-0.003036;85.732276;0.007549;
1111;1087;2.971344;30.860777;0.997517;0.016463;-0.107234;0.346159;0.002493;0.346172;-0.107248;89.685027;0.354422;
1071;1177;6.250492;60.289919;0.997351;0.012675;-0.100387;0.291771;-0.009421;0.291997;-0.100613;-88.624607;0.296662;
1021;647;0.167364;0.558325;0.999997;0.000461;-0.001504;0.004015;0.001100;0.004226;-0.001716;79.133089;0.004251;
1071;1882;0.008410;86.367199;1.000000;0.000185;-0.000134;0.001342;-0.000113;0.001351;-0.000143;-85.657717;0.001484;
1151;472;-0.008896;0.199981;1.000000;0.000091;-0.000551;0.001559;-0.000019;0.001559;-0.000551;-89.494370;0.001581;
1106;1772;0.014750;86.209803;1.000000;0.000064;-0.000551;0.001558;-0.000033;0.001559;-0.000552;-89.111369;0.001581;
1001;517;0.092540;0.281614;0.999999;0.000301;-0.000584;0.001577;0.000181;0.001592;-0.000599;85.242377;0.001609;
1171;852;-0.562537;3.615517;0.999916;0.002578;-0.015435;0.034884;-0.002387;0.034997;-0.015548;-87.289711;0.035070;
1156;1112;-2.690000;39.626077;0.994984;0.019941;-0.120296;0.421899;-0.000032;0.421899;-0.120296;-89.996650;0.434691;
1206;1367;-1.421289;81.807281;0.999928;0.003314;-0.019705;0.044071;0.005587;0.044557;-0.020191;85.031507;0.044622;
1111;1097;3.095006;34.088843;0.996699;0.014492;-0.112715;0.380377;0.001385;0.380380;-0.112719;89.839047;0.390758;
1021;1717;0.081204;86.114971;1.000000;0.000178;-0.000626;0.001627;-0.000176;0.001640;-0.000639;-85.562048;0.001653;
1046;1577;0.157156;85.759398;0.999997;0.000484;-0.001945;0.005022;-0.001113;0.005195;-0.002118;-81.142311;0.005225;
1106;1182;2.464669;62.199126;0.998294;0.011103;-0.093563;0.273737;-0.004597;0.273795;-0.093620;-89.283002;0.278318;
1026;647;0.160693;0.560217;0.999997;0.000479;-0.001504;0.003987;0.001048;0.004180;-0.001697;79.553098;0.004205;
1131;1772;0.001024;86.210542;1.000000;0.000073;-0.000550;0.001555;-0.000002;0.001555;-0.000550;-89.948383;0.001577;
1156;1107;-2.620663;37.795188;0.994608;0.020756;-0.119174;0.414796;-0.000537;0.414797;-0.119175;-89.942357;0.427123;
1116;1087;2.426529;30.830764;0.997117;0.017093;-0.107547;0.348611;0.002151;0.348621;-0.107557;89.729779;0.357041;
1206;1372;-1.357255;82.023771;0.999939;0.002898;-0.018873;0.042196;0.005381;0.042667;-0.019344;85.002456;0.042729;
1261;1802;-0.057949;86.245551;1.000000;0.000163;-0.000471;0.001530;0.000119;0.001537;-0.000478;86.599618;0.001574;
1066;432;0.027561;0.142317;1.000000;0.000097;-0.000419;0.001503;0.000090;0.001508;-0.000423;87.322996;0.001555;
1111;1182;2.000929;62.244156;0.998334;0.013560;-0.093194;0.272729;-0.003688;0.272767;-0.093231;-89.422546;0.277280;
1101;862;0.559915;3.994474;0.999906;0.002547;-0.016838;0.038088;0.002324;0.038187;-0.016937;87.581405;0.038268;
1296;517;-0.106927;0.281569;0.999999;0.000325;-0.000518;0.001415;-0.000213;0.001438;-0.000541;-83.774928;0.001453;
1031;1742;0.066094;86.155637;1.000000;0.000144;-0.000613;0.001607;-0.000127;0.001615;-0.000620;-86.735880;0.001629;
1136;1762;-0.001868;86.194576;1.000000;0.000075;-0.000589;0.001575;0.000004;0.001575;-0.000589;89.889420;0.001592;
1231;1582;-0.173209;85.780337;0.999996;0.000548;-0.001882;0.004814;0.001156;0.005008;-0.002076;80.472211;0.005032;
1116;1092;2.458810;32.456329;0.997196;0.015604;-0.110453;0.366503;0.001612;0.366509;-0.110458;89.806322;0.376024;
1216;1367;-1.619693;81.790890;0.999928;0.003439;-0.019834;0.044001;0.006397;0.044636;-0.020469;84.333537;0.044687;
1101;1097;4.319986;34.220785;0.996889;0.018092;-0.112252;0.375176;0.002118;0.375186;-0.112261;89.751091;0.385137;
1246;672;-0.219756;0.672421;0.999996;0.000485;-0.002189;0.005553;-0.001552;0.005853;-0.002488;-79.078665;0.005874;
1071;432;0.025573;0.142035;1.000000;0.000088;-0.000416;0.001500;0.000084;0.001504;-0.000419;87.483590;0.001552;
1266;1802;-0.060561;86.244458;1.000000;0.000159;-0.000469;0.001526;0.000116;0.001533;-0.000476;86.674417;0.001569;
1116;1172;1.654222;59.726153;0.997254;0.018565;-0.100494;0.308127;-0.002300;0.308140;-0.100507;-89.677461;0.314286;
1301;517;-0.110297;0.282423;0.999999;0.000302;-0.000512;0.001378;-0.000215;0.001402;-0.000536;-83.591307;0.001415;
1221;857;-1.407491;3.804172;0.999918;0.002830;-0.016736;0.036829;-0.006015;0.037496;-0.017403;-83.671118;0.037529;
1116;1097;2.506576;34.073632;0.996823;0.014787;-0.113147;0.382955;0.001274;0.382958;-0.113150;89.852861;0.393494;
1056;1817;0.030135;86.275836;1.000000;0.000138;-0.000404;0.001496;-0.000106;0.001502;-0.000410;-86.811895;0.001552;
1136;1767;-0.001895;86.202310;1.000000;0.000075;-0.000569;0.001564;0.000004;0.001564;-0.000569;89.902903;0.001584;
1121;1087;1.824001;30.782330;0.997317;0.013934;-0.107816;0.350869;0.001707;0.350876;-0.107822;89.786729;0.359458;
1076;432;0.023508;0.141739;1.000000;0.000094;-0.000411;0.001496;0.000078;0.001499;-0.000415;87.654940;0.001548;
991;592;0.131313;0.400345;0.999996;0.000516;-0.000571;0.001791;0.000488;0.001888;-0.000668;78.770009;0.001914;
1116;1177;1.546123;61.136365;0.998187;0.018605;-0.096793;0.289686;-0.002657;0.289705;-0.096811;-89.606054;0.294968;
1271;1802;-0.062834;86.243887;1.000000;0.000137;-0.000468;0.001522;0.000112;0.001528;-0.000474;86.797144;0.001564;
1121;1092;1.837478;32.424572;0.997267;0.015686;-0.110757;0.368783;0.001352;0.368787;-0.110760;89.838461;0.378461;
1106;1082;3.435845;29.412674;0.997029;0.017456;-0.103821;0.326554;0.003471;0.326582;-0.103849;89.537978;0.333717;
1126;1077;1.182292;27.936269;0.997650;0.018579;-0.101293;0.315641;0.001374;0.315646;-0.101297;89.811250;0.322324;
