MinPrincipalStrain,MaxPrincipalStrain,EqPlasticStrain,MinPrincipalStress,MaxPrincipalStress,ElemVolume,IntegrationPoint_CoordX,IntegrationPoint_CoordY,Stress_xx,Stress_yy,Stress_xy,StressTriaxility,MisesStress,ThirdInvStress
-0.004185,   0.007910,   0.006318,   -23.058023,   436.498077,   0.582331,   0.371144,   57.738537,   -20.240189,   433.680237,   -35.874966,   0.307295,   448.471893,   447.135284
-0.005415,   0.009743,   0.008269,   -31.547729,   445.253082,   0.582334,   0.371144,   56.757896,   -27.870712,   441.576080,   -41.709522,   0.298595,   461.835815,   459.402130
-0.006582,   0.011614,   0.010256,   -32.864113,   457.248260,   0.582334,   0.371144,   55.777256,   -27.675369,   452.059509,   -50.161190,   0.298105,   474.534637,   471.964050
-0.007551,   0.013528,   0.012275,   -25.324551,   473.794312,   0.582333,   0.371144,   54.796619,   -17.681705,   466.151459,   -61.288456,   0.306992,   486.950714,   485.465820
-0.008253,   0.015432,   0.014280,   -11.085375,   493.214783,   0.582333,   0.371144,   53.815979,   -0.014866,   482.144287,   -73.893867,   0.322161,   498.849884,   498.572632
-0.008698,   0.017274,   0.016238,   0.000000,   513.762817,   0.582333,   0.371144,   52.835342,   23.043125,   498.286377,   -87.146912,   0.340724,   510.021576,   509.895233
-0.008905,   0.019021,   0.018131,   0.000000,   534.141663,   0.582334,   0.371144,   51.854702,   49.550056,   513.383606,   -100.295540,   0.360617,   520.343506,   518.546753
-0.008895,   0.020655,   0.019953,   0.000000,   553.427307,   0.582334,   0.371144,   50.874062,   77.794708,   526.690613,   -112.769020,   0.380361,   529.746948,   524.168274
-0.008694,   0.022167,   0.021701,   0.000000,   571.120483,   0.582331,   0.371144,   49.893421,   106.551842,   537.886536,   -124.255638,   0.399117,   538.220032,   526.809143
-0.008333,   0.023552,   0.023374,   0.000000,   586.970825,   0.582334,   0.371144,   48.912785,   134.880356,   546.896851,   -134.599609,   0.416394,   545.778687,   526.772827
-0.007849,   0.024809,   0.024966,   0.000000,   600.912415,   0.582334,   0.371144,   47.932144,   162.117599,   553.806885,   -143.769470,   0.431962,   552.459351,   524.499451
-0.007276,   0.025942,   0.026471,   0.000000,   613.006348,   0.582333,   0.371144,   46.951504,   187.841629,   558.805359,   -151.803604,   0.445775,   558.313538,   520.469849
-0.006647,   0.026955,   0.027880,   0.000000,   623.390259,   0.582333,   0.371144,   45.970867,   211.844131,   562.119446,   -158.794724,   0.457911,   563.401978,   515.136719
-0.005993,   0.027852,   0.029185,   0.000000,   632.203735,   0.582333,   0.371144,   44.990227,   234.067337,   563.942139,   -164.855789,   0.468514,   567.758850,   508.860535
-0.005335,   0.028637,   0.030378,   0.000000,   639.614807,   0.582334,   0.371144,   44.009590,   254.551163,   564.476746,   -170.096863,   0.477759,   571.437622,   501.945007
-0.004694,   0.029315,   0.031451,   0.000000,   645.792175,   0.582334,   0.371144,   43.028946,   273.422943,   563.899109,   -174.626617,   0.485832,   574.493408,   494.610718
-0.004083,   0.029891,   0.032397,   0.000000,   650.884277,   0.582331,   0.371144,   42.048309,   290.841827,   562.343262,   -178.545578,   0.492906,   576.976196,   487.016022
-0.003512,   0.030371,   0.033215,   0.000000,   655.014954,   0.582334,   0.371144,   41.067673,   306.988708,   559.908508,   -181.932800,   0.499143,   578.923706,   479.248047
-0.002989,   0.030762,   0.033907,   0.000000,   658.294983,   0.582333,   0.371144,   40.087032,   322.041809,   556.673950,   -184.852341,   0.504682,   580.375488,   471.361481
-0.002517,   0.031072,   0.034478,   0.000000,   660.528870,   0.582334,   0.371144,   39.106392,   336.107239,   552.442993,   -187.257553,   0.509694,   581.100159,   463.073730
-0.002099,   0.031309,   0.034935,   0.000000,   662.025208,   0.582333,   0.371144,   38.125751,   349.418488,   547.406860,   -189.289368,   0.514222,   581.347412,   454.662384
-0.001735,   0.031487,   0.035291,   0.000000,   662.790344,   0.582333,   0.371144,   37.145115,   362.120392,   541.525879,   -190.946518,   0.518363,   581.090027,   446.051392
-0.001426,   0.031615,   0.035560,   0.000000,   662.849182,   0.582334,   0.371144,   36.164474,   374.323914,   534.729004,   -192.265228,   0.522142,   580.335632,   437.305817
-0.001170,   0.031709,   0.035756,   0.000000,   662.298157,   0.582333,   0.371144,   35.183834,   386.140381,   527.023132,   -193.280243,   0.525569,   579.158508,   428.572021
-0.000966,   0.031779,   0.035894,   0.000000,   661.323303,   0.582333,   0.371144,   34.203197,   397.655121,   518.455811,   -194.086639,   0.528572,   577.726807,   420.260284
-0.000813,   0.031836,   0.035989,   0.000000,   659.886719,   0.582334,   0.371144,   33.222557,   408.839752,   508.945618,   -194.662018,   0.531124,   576.002014,   412.545715
-0.000709,   0.031888,   0.036049,   0.000000,   658.472107,   0.582333,   0.371144,   32.241917,   419.817719,   498.860504,   -195.171768,   0.533108,   574.416504,   406.184021
-0.000652,   0.031942,   0.036082,   0.000000,   656.997803,   0.582333,   0.371144,   31.261278,   430.437775,   488.135071,   -195.595352,   0.534459,   572.899109,   401.446747
-0.000642,   0.032000,   0.036088,   0.000000,   656.148865,   0.582333,   0.371144,   30.280640,   440.962402,   477.262268,   -196.198807,   0.535038,   572.061462,   399.259247
-0.000678,   0.032061,   0.036070,   0.000000,   655.462341,   0.582333,   0.371144,   29.300001,   450.977356,   466.117706,   -196.769226,   0.534922,   571.482422,   399.178528
-0.000758,   0.032125,   0.036028,   0.000000,   654.782104,   0.582333,   0.371144,   28.319361,   460.340698,   454.697479,   -197.242859,   0.534156,   571.018250,   400.956360
-0.000884,   0.032185,   0.035955,   0.000000,   653.923950,   0.582333,   0.371144,   27.338722,   468.800476,   443.030914,   -197.588577,   0.532759,   570.509338,   404.349548
-0.001053,   0.032234,   0.035844,   0.000000,   652.649963,   0.582333,   0.371144,   26.358082,   476.287262,   431.053680,   -197.689941,   0.530858,   569.732727,   408.736572
-0.001266,   0.032260,   0.035683,   0.000000,   650.709045,   0.582333,   0.371144,   25.377443,   482.665009,   418.718048,   -197.445450,   0.528555,   568.457458,   413.559357
-0.001523,   0.032251,   0.035455,   0.000000,   648.202881,   0.582333,   0.371144,   24.396805,   488.134216,   406.014282,   -196.892899,   0.525869,   566.774719,   418.713440
-0.001823,   0.032191,   0.035146,   0.000000,   645.042969,   0.582333,   0.371144,   23.416164,   492.771484,   392.823395,   -195.974106,   0.522840,   564.605469,   423.930725
-0.002164,   0.032069,   0.034741,   0.000000,   641.441345,   0.582333,   0.371144,   22.435526,   496.771820,   379.162933,   -194.791397,   0.519389,   562.156921,   429.417419
-0.002545,   0.031873,   0.034230,   0.000000,   637.330811,   0.582333,   0.371144,   21.454885,   500.155731,   364.899872,   -193.315125,   0.515479,   559.386353,   435.085022
-0.002963,   0.031596,   0.033608,   0.000000,   632.647278,   0.582333,   0.371144,   20.474247,   502.917358,   349.913818,   -191.517593,   0.511051,   556.259644,   440.868805
-0.003414,   0.031229,   0.032870,   0.000000,   627.320129,   0.582333,   0.371144,   19.493608,   505.036438,   334.066772,   -189.367630,   0.506022,   552.744812,   446.723389
-0.003892,   0.030765,   0.032014,   0.000000,   621.278687,   0.582334,   0.371144,   18.512968,   506.481812,   317.234589,   -186.824310,   0.500300,   548.815125,   452.583069
-0.004392,   0.030198,   0.031042,   0.000000,   614.448853,   0.582333,   0.371144,   17.532330,   507.207825,   299.298035,   -183.839844,   0.493776,   544.448364,   458.370117
-0.004903,   0.029523,   0.029957,   0.000000,   606.747681,   0.582333,   0.371144,   16.551691,   507.153778,   280.136139,   -180.356674,   0.486320,   539.624573,   463.989929
-0.005415,   0.028735,   0.028761,   0.000000,   598.087463,   0.582333,   0.371144,   15.571051,   506.240082,   259.644745,   -176.309586,   0.477786,   534.328613,   469.318604
-0.005912,   0.027830,   0.027463,   0.000000,   588.380981,   0.582333,   0.371144,   14.590412,   504.374695,   237.750107,   -171.625198,   0.468022,   528.554138,   474.195312
-0.006380,   0.026806,   0.026069,   0.000000,   577.536621,   0.582333,   0.371144,   13.609773,   501.448395,   214.417099,   -166.220078,   0.456871,   522.296326,   478.411530
-0.006797,   0.025659,   0.024588,   0.000000,   565.467102,   0.582333,   0.371144,   12.629134,   497.336517,   189.675919,   -160.009018,   0.444190,   515.554504,   481.709808
-0.007144,   0.024387,   0.023026,   0.000000,   552.107849,   0.582333,   0.371144,   11.648495,   491.913391,   163.659637,   -152.913101,   0.429883,   508.334656,   483.785736
-0.007396,   0.022992,   0.021393,   0.000000,   537.436218,   0.582333,   0.371144,   10.667855,   485.073853,   136.640076,   -144.867691,   0.413941,   500.646149,   484.299774
-0.007532,   0.021478,   0.019695,   0.000000,   521.487183,   0.582333,   0.371144,   9.687216,   476.746124,   109.035492,   -135.843719,   0.396470,   492.497620,   482.920349
-0.007532,   0.019851,   0.017940,   0.000000,   504.390381,   0.582333,   0.371144,   8.706576,   466.934418,   81.449837,   -125.863594,   0.377757,   483.895630,   479.365295
-0.007381,   0.018122,   0.016135,   0.000000,   486.360260,   0.582333,   0.371144,   7.725937,   455.727936,   54.618176,   -115.001167,   0.358272,   474.821930,   473.455963
-0.007071,   0.016305,   0.014287,   0.000000,   467.701324,   0.582333,   0.371144,   6.745298,   443.312622,   29.373749,   -103.393639,   0.338677,   465.228821,   465.168732
-0.006598,   0.014419,   0.012403,   -12.072129,   448.880066,   0.582333,   0.371144,   5.764659,   430.047363,   6.760567,   -91.248573,   0.319980,   455.036224,   454.675690
-0.005965,   0.012487,   0.010498,   -25.973795,   430.563171,   0.582333,   0.371144,   4.784020,   416.513916,   -11.924531,   -78.845589,   0.303664,   444.120087,   442.406403
-0.005170,   0.010543,   0.008592,   -34.979549,   413.771729,   0.582333,   0.371144,   3.803381,   403.700531,   -24.908350,   -66.468292,   0.292059,   432.324127,   429.123016
-0.004228,   0.008637,   0.006724,   -36.767502,   399.933289,   0.582333,   0.371144,   2.822742,   393.011993,   -29.846205,   -54.540176,   0.288552,   419.527161,   415.879120
-0.003205,   0.006811,   0.004934,   -29.964636,   389.859467,   0.582333,   0.371144,   1.842103,   385.310852,   -25.416033,   -43.461742,   0.295719,   405.672607,   403.171509
-0.002212,   0.005050,   0.003216,   -17.927620,   381.170654,   0.582333,   0.371144,   0.861463,   378.734161,   -15.491113,   -31.088093,   0.310112,   390.443268,   389.515625
-0.006450,   0.012446,   0.011059,   -6.159241,   476.433472,   0.567391,   1.113431,   57.008831,   -5.957798,   476.232025,   -9.857711,   0.326891,   479.542725,   479.453735
-0.007127,   0.013580,   0.012263,   -8.361815,   481.960938,   0.567391,   1.113431,   56.053352,   -7.575859,   481.174988,   -19.615171,   0.324697,   486.195770,   486.033936
-0.007743,   0.014888,   0.013648,   -3.951530,   492.040558,   0.567391,   1.113431,   55.097878,   -1.591517,   489.680542,   -34.131771,   0.329326,   494.028137,   493.992584
-0.008194,   0.016298,   0.015146,   0.000000,   505.778137,   0.567391,   1.113431,   54.142399,   11.717532,   500.452179,   -51.296703,   0.339671,   502.612854,   502.521362
-0.008494,   0.017757,   0.016718,   0.000000,   521.532776,   0.567391,   1.113431,   53.186924,   30.401573,   511.715057,   -69.439003,   0.353250,   511.551514,   510.618500
-0.008664,   0.019244,   0.018352,   0.000000,   538.063354,   0.567391,   1.113431,   52.231445,   52.686993,   522.293152,   -87.489906,   0.368161,   520.587646,   517.630371
-0.008714,   0.020742,   0.020039,   0.000000,   554.484192,   0.567391,   1.113431,   51.275970,   77.084404,   531.556335,   -104.621994,   0.383164,   529.487183,   523.201721
-0.008645,   0.022231,   0.021765,   0.000000,   570.238708,   0.567392,   1.113431,   50.320492,   102.473526,   539.292358,   -120.314751,   0.397585,   538.052795,   527.197388
-0.008465,   0.023691,   0.023507,   0.000000,   584.949951,   0.567390,   1.113431,   49.365013,   127.958038,   545.458191,   -134.340622,   0.411033,   546.117493,   529.635742
-0.008186,   0.025099,   0.025240,   0.000000,   598.389038,   0.567392,   1.113431,   48.409538,   152.842606,   550.121643,   -146.647110,   0.423299,   553.560120,   530.649231
-0.007826,   0.026435,   0.026937,   0.000000,   610.458374,   0.567391,   1.113431,   47.454060,   176.649231,   553.408752,   -157.317017,   0.434314,   560.315002,   530.443237
-0.007404,   0.027685,   0.028569,   0.000000,   621.149353,   0.567391,   1.113431,   46.498585,   199.104202,   555.457214,   -166.508362,   0.444105,   566.353638,   529.238342
-0.006937,   0.028835,   0.030114,   0.000000,   630.509094,   0.567391,   1.113431,   45.543106,   220.076065,   556.411011,   -174.391251,   0.452757,   571.673706,   527.238708
-0.006446,   0.029878,   0.031552,   0.000000,   638.620850,   0.567391,   1.113431,   44.587631,   239.561966,   556.397522,   -181.140656,   0.460391,   576.291809,   524.610413
-0.005945,   0.030811,   0.032871,   0.000000,   645.562988,   0.567391,   1.113431,   43.632153,   257.647552,   555.498291,   -186.915741,   0.467151,   580.215759,   521.453247
-0.005447,   0.031633,   0.034060,   0.000000,   651.487183,   0.567392,   1.113431,   42.676678,   274.464996,   553.848083,   -191.864777,   0.473165,   583.526428,   517.899414
-0.004964,   0.032346,   0.035115,   0.000000,   656.485901,   0.567390,   1.113431,   41.721199,   290.174408,   551.514343,   -196.092575,   0.478571,   586.251465,   513.976501
-0.004503,   0.032956,   0.036034,   0.000000,   660.657593,   0.567391,   1.113431,   40.765724,   304.941498,   548.556274,   -199.690338,   0.483486,   588.433899,   509.706604
-0.004072,   0.033468,   0.036823,   0.000000,   664.067261,   0.567391,   1.113431,   39.810246,   318.907074,   545.010742,   -202.715500,   0.488011,   590.094360,   505.074585
-0.003674,   0.033892,   0.037488,   0.000000,   666.526611,   0.567391,   1.113431,   38.854771,   332.178253,   540.684692,   -205.122025,   0.492292,   591.019287,   499.771667
-0.003314,   0.034236,   0.038037,   0.000000,   668.405029,   0.567392,   1.113431,   37.899292,   344.965027,   535.803711,   -207.095551,   0.496315,   591.539246,   494.153778
-0.002994,   0.034512,   0.038483,   0.000000,   669.528076,   0.567390,   1.113431,   36.943813,   357.289917,   530.195618,   -208.578323,   0.500152,   591.476685,   488.004852
